iter	Passed	Remaining
0	0	262
1	1	251
2	2	240
3	3	233
4	3	232
5	4	240
6	5	238
7	6	238
8	7	236
9	8	236
10	9	256
11	10	253
12	11	251
13	12	248
14	12	246
15	13	243
16	14	240
17	15	239
18	16	237
19	16	235
20	17	234
21	18	233
22	19	233
23	20	234
24	21	232
25	22	233
26	22	231
27	23	230
28	24	228
29	25	226
30	26	226
31	26	224
32	27	223
33	28	222
34	29	220
35	30	220
36	30	220
37	31	219
38	32	217
39	33	216
40	33	214
41	34	213
42	35	212
43	36	211
44	37	210
45	37	209
46	38	208
47	39	207
48	40	205
49	41	205
50	41	203
51	42	202
52	43	201
53	44	201
54	44	200
55	45	199
56	46	197
57	47	196
58	48	196
59	48	195
60	49	193
61	50	193
62	51	192
63	52	193
64	53	192
65	54	191
66	54	191
67	55	190
68	56	189
69	57	189
70	58	188
71	59	187
72	59	186
73	60	185
74	61	184
75	62	182
76	62	182
77	63	180
78	64	179
79	64	178
80	65	178
81	66	176
82	67	176
83	68	175
84	69	174
85	70	174
86	70	173
87	71	172
88	72	172
89	73	171
90	74	170
91	74	169
92	75	168
93	76	167
94	77	166
95	77	165
96	79	165
97	80	164
98	80	164
99	81	163
100	82	162
101	83	161
102	84	160
103	84	159
104	85	159
105	86	158
106	87	157
107	88	156
108	88	155
109	89	154
110	90	153
111	91	152
112	91	151
113	92	151
114	93	150
115	94	149
116	95	148
117	96	148
118	96	147
119	97	146
120	98	145
121	99	144
122	99	143
123	100	142
124	100	141
125	101	140
126	102	139
127	103	138
128	103	137
129	104	136
130	105	135
131	105	134
132	106	133
133	107	132
134	107	131
135	108	131
136	109	130
137	110	129
138	110	128
139	111	127
140	112	126
141	113	125
142	114	125
143	114	124
144	115	123
145	116	122
146	117	121
147	117	121
148	118	120
149	119	119
150	120	118
151	120	117
152	121	116
153	122	116
154	123	115
155	123	114
156	124	113
157	125	112
158	126	111
159	126	111
160	127	110
161	128	109
162	129	109
163	130	108
164	131	107
165	132	106
166	132	105
167	133	105
168	134	104
169	135	103
170	136	102
171	136	101
172	137	100
173	138	100
174	139	99
175	139	98
176	140	97
177	141	96
178	142	95
179	142	95
180	143	94
181	143	93
182	144	92
183	145	91
184	146	90
185	146	90
186	147	89
187	148	88
188	149	87
189	149	86
190	150	85
191	151	85
192	152	84
193	152	83
194	153	82
195	154	81
196	155	81
197	155	80
198	156	79
199	157	78
200	158	78
201	159	77
202	160	76
203	161	75
204	161	75
205	163	74
206	164	73
207	165	73
208	165	72
209	166	71
210	167	70
211	168	69
212	169	69
213	169	68
214	170	67
215	171	66
216	172	65
217	173	65
218	173	64
219	174	63
220	175	62
221	176	61
222	176	61
223	177	60
224	178	59
225	179	58
226	180	57
227	181	57
228	182	56
229	182	55
230	183	54
231	184	54
232	185	53
233	185	52
234	186	51
235	187	50
236	188	50
237	189	49
238	189	48
239	190	47
240	191	46
241	192	46
242	193	45
243	194	44
244	194	43
245	195	42
246	196	42
247	197	41
248	197	40
249	198	39
250	199	38
251	200	38
252	201	37
253	201	36
254	202	35
255	203	34
256	204	34
257	205	33
258	206	32
259	207	31
260	207	31
261	208	30
262	209	29
263	210	28
264	211	27
265	211	27
266	212	26
267	213	25
268	214	24
269	215	23
270	215	23
271	216	22
272	217	21
273	218	20
274	219	19
275	220	19
276	220	18
277	221	17
278	222	16
279	223	15
280	224	15
281	224	14
282	225	13
283	226	12
284	227	11
285	228	11
286	228	10
287	229	9
288	230	8
289	231	7
290	231	7
291	232	6
292	233	5
293	234	4
294	235	3
295	235	3
296	236	2
297	237	1
298	238	0
299	239	0
