,title,description,score
0,The Witcher 3: Wild Hunt - Blood and Wine,"Добро пожаловать в землю тепла и солнца, в далекую долину, не тронутую войной, в край странствующих рыцарей, благородных дам и великолепного вина. Лучше всего отправиться в эти земли прямо сейчас: когда жители все еще потрясены жестокими убийствами. Геральт из Ривии, легендарный охотник на чудовищ, берется за свой последний контракт. В дополнении ""Кровь и вино"" вас ждёт более 20 часов приключений, в которых красота столкнется с ужасом, а любовь - с обманом и предательством.—",4.8
1,The Witcher 3: Wild Hunt,"Вы — Геральт из Ривии, наемный убийца чудовищ. Вы путешествуете по миру, в котором бушует война и на каждом шагу подстерегают чудовища. Вам предстоит выполнить заказ и найти Цири — Дитя Предназначения, живое оружие, способное изменить облик этого мира.—",4.7
2,The Witcher 3: Wild Hunt - Hearts of Stone,"«Каменные сердца» — это первое крупное дополнение к игре «Ведьмак 3: Дикая охота», грандиозному ролевому приключению, заслужившему множество наград. Станьте Геральтом из Ривии, профессиональным охотником на чудовищ, которого наняли разобраться с главарём бандитов Ольгердом фон Эвереком, человеком, обретшим дар бессмертия. Это дополнение рассчитано более чем на 10 часов прохождения: новые персонажи, опасные чудовища, нетривиальная романтическая история и новый сюжет, формируемый вашими решениями.—",4.7
3,Silent Hill 2,"Джеймс Сандерленд приехал в таинственный городок Сайлент Хилл, чтобы отыскать свою жену. Проблема только в том, что она умерла вот уже три года назад, но несчастный вдовец совсем недавно получил от нее письмо с просьбой приехать к ней в город. «Мертвецы не пишут писем», — убеждает себя наш герой, но, тем не менее, отправляется с этот город полный тайн.Вторая часть одного из самых лучших хоррор-сериалов и по сей день остается одним из лучших ужастиков в истории видео и компьютерных игр. Здесь разработчики рассказывают действительно страшную историю и проводят игрока через семь кругов ада. Ужасающий туман окружает город, жуткие монстры лезут из темноты, а у главного героя лишь фонарик, пистолет с парой патронов, да жгучее желание выжить. Вы готовы к испытанию?—",4.7
4,Heroes of Might and Magic III: The Shadow of Death,"Очередное дополнение к легендарной Heroes of Might and Magic 3 дарит  игрокам новое незабываемое приключение. Разработчики написали семь новых кампаний, сочинили 38 отдельных миссий и немного улучшили графику. Кроме того, в игре появились полноценные городские баррикады. Например, можно возвести ограду из кольев, и тогда враг, угодивший в ловушку, понесет внушительные потери. Остальные изменения тоже порадуют ценителей игры: несколько новых комплектов брони, пара свежих юнитов и серьезно повышенный уровень сложности.—",4.7
5,Portal 2,Программа вечного тестирования расширена: создавайте совместные головоломки для себя и друзей!— Steam,4.6
6,Half-Life 2,"Гордон Фримен вновь пробуждается в оккупированном центре Сити-17 и возглавляет отчаянное сопротивление против Альянса. К нему присоединяется Аликс Вэнс. Сыграйте в этот эпохальный шутер от первого лица с беспрецедентной физикой, обеспечивающей невероятный уровень погружения, и головокружительными сражениями.— Steam",4.6
7,Baldur’s Gate III,"Соберите отряд и вернитесь в Забытые Королевства. Вас ждет история о дружбе и предательстве, выживании и самопожертвовании, о сладком зове абсолютной власти.— Steam",4.6
8,Disco Elysium,"Disco Elysium - The Final Cut — революция в жанре РПГ. Ваш персонаж — детектив с уникальными навыками, которому предстоит исследовать целый район. Допрашивайте персонажей, расследуйте убийства или берите взятки. Кем вы станете: героем или неудачником?— Steam",4.6
9,Resident Evil 4 (2023),"После биологической катастрофы в Раккун-Сити прошло шесть лет. Агента Леона С. Кеннеди, пережившего те события, отправили на задание по спасению похищенной дочери президента. В попытках отыскать ее он оказывается в укромной европейской деревеньке, где с местными жителями творится что-то не то. Сорвите занавес с этой увлекательной и жуткой истории о смелом герое и познайте жизнь и смерть, ужас и восхищение.Resident Evil 4, настоящий гигант индустрии, возрождается. Вас ждут обновленный игровой процесс, переработанный сюжет и крайне детализированная графика.Вновь переживите кошмар, полностью изменивший жанр ужасов.—",4.6
